151817 20181122 -0.018448 -0.0728893 5.10288e-09 -3.56011e-10 8.0832e-09 5.06976e-05 -0.000244883
151831 20529166 -0.0175149 -0.072671 1.16818e-09 7.79733e-11 1.15045e-09 7.98213e-05 -0.000171395
151853 21017263 -0.0168613 -0.0729414 1.17875e-09 1.27458e-10 1.24116e-09 8.23249e-05 -0.000182885
151854 21320593 -0.0171074 -0.0729025 1.14572e-09 8.84014e-11 1.12525e-09 7.13689e-05 -0.000179735
151855 21483349 -0.0166735 -0.0733213 1.15937e-09 7.26627e-11 1.16343e-09 8.86848e-05 -0.000187219
151892 24291757 -0.0177026 -0.0726537 1.19196e-09 1.07679e-10 1.14743e-09 6.95744e-05 -0.000195205
151893 24388081 -0.0176207 -0.0725834 1.15859e-09 1.09267e-10 1.17115e-09 6.6204e-05 -0.000175421
151894 24764537 -0.0173868 -0.0725052 1.09249e-09 1.02911e-10 1.10908e-09 8.04931e-05 -0.000175258
151895 25639697 -0.0181307 -0.0732436 1.11052e-09 6.77793e-11 1.10542e-09 8.41041e-05 -0.000173541
151896 25727673 -0.0179375 -0.0732604 1.16278e-09 6.5375e-11 1.15076e-09 7.56195e-05 -0.000164511
151897 25897238 -0.0179959 -0.07301 1.24654e-09 8.57127e-11 1.21826e-09 8.50407e-05 -0.000182737
151909 26162762 -0.0179488 -0.0722403 1.18786e-09 7.04906e-11 1.0483e-09 0.000106426 -0.000172293
151909 26349392 -0.0164295 -0.0695152 8.70867e-09 1.60345e-10 9.28522e-09 0.000104091 -0.000113226
151911 27285479 -0.0174833 -0.071406 1.07631e-09 6.75866e-11 9.93116e-10 0.000117324 -0.000181873
151936 27970604 -0.0181202 -0.0713632 1.15239e-09 8.51709e-11 1.00307e-09 0.000134024 -0.000169951
151964 28785626 -0.0163409 -0.0684781 2.75022e-08 1.05523e-09 2.72731e-08 0.000171063 -0.000115681
151964 29146659 -0.0181263 -0.0716296 1.14256e-09 5.24294e-11 1.05036e-09 0.000136095 -0.000181857
151965 29325680 -0.0175916 -0.0714803 1.1081e-09 3.93842e-11 1.03531e-09 0.00013816 -0.000170933
151976 29653592 -0.0179416 -0.0708942 1.17904e-09 2.0693e-11 1.06175e-09 0.000127082 -0.000160758
151976 29807059 -0.0171547 -0.0690921 1.52815e-08 6.061e-10 1.41981e-08 0.000158332 -0.000116446
152128 31193358 -0.0163764 -0.0672777 1.1564e-09 3.99902e-11 1.02426e-09 0.000110171 -0.000202688
152145 31563716 -0.0168554 -0.0675263 1.31684e-08 1.85626e-09 1.02527e-08 0.000132186 -0.000231814
152148 31614330 -0.016134 -0.0678278 1.62803e-09 1.00597e-10 1.45699e-09 0.00012854 -0.000209819
152155 32082114 -0.0160825 -0.0692251 1.45634e-09 9.66815e-11 1.37119e-09 0.000138713 -0.00020135
152155 32190770 -0.0156806 -0.0698702 1.13024e-09 5.90189e-11 1.02924e-09 0.000117426 -0.000195051
152173 32447169 -0.0157143 -0.0699314 1.12945e-09 3.13068e-11 1.06334e-09 0.000111546 -0.000187467
152185 33220302 -0.0167329 -0.0718631 1.15651e-09 1.96724e-11 1.05201e-09 0.000117727 -0.000164818
152186 33489480 -0.0163764 -0.0724425 1.16223e-09 6.83403e-11 1.03416e-09 0.000114915 -0.000162883
152186 33579661 -0.0151274 -0.0699907 9.85069e-09 3.04489e-10 1.01872e-08 8.59237e-05 -0.000112555
152211 33680125 -0.0157497 -0.0706025 4.17419e-08 1.8166e-09 3.71127e-08 8.32708e-05 -0.000177
152212 33785505 -0.0147255 -0.0709098 3.94003e-08 2.02622e-09 3.77291e-08 9.73591e-05 -0.00015134
152213 33879398 -0.0146114 -0.0714643 2.61117e-08 1.10114e-09 2.14686e-08 8.14705e-05 -0.000151824
152213 34049448 -0.0168345 -0.0728677 1.18607e-09 4.66451e-11 1.0453e-09 0.000135643 -0.000175521
152237 34575929 -0.0184746 -0.0721403 1.78441e-06 3.71174e-07 1.75388e-06 5.03261e-05 2.13542e-05
152243 35549325 -0.0173696 -0.0726323 1.27807e-09 3.73967e-11 1.09e-09 0.000129456 -0.000178144
152250 35660017 -0.0175697 -0.0724837 1.24096e-09 6.81134e-11 1.14572e-09 0.000129646 -0.000190989
152295 36645678 -0.0185886 -0.0723113 1.97944e-08 1.90332e-09 1.67093e-08 9.23674e-05 -0.000172997
152300 36841373 -0.0176099 -0.0722048 1.1564e-09 5.67356e-11 1.08906e-09 0.000113774 -0.000181454
152415 618170 -0.0167055 -0.0717571 1.21891e-09 4.34643e-11 1.07756e-09 0.000133318 -0.000189529
152419 746407 -0.0170877 -0.0718763 1.17625e-09 4.50107e-11 1.09943e-09 0.000133523 -0.000189725
152420 1349820 -0.0174614 -0.0717949 1.24516e-09 4.50892e-11 1.11535e-09 0.000115826 -0.00022082
152422 1399602 -0.0161942 -0.0698439 5.35649e-10 9.0617e-12 5.26406e-10 0.000106559 -0.000144428
152422 1593999 -0.0173556 -0.0725762 1.11007e-09 4.89932e-11 1.0015e-09 0.000126506 -0.000182185
152531 3667381 -0.0136189 -0.0752143 1.57783e-09 8.02133e-11 1.40874e-09 0.000110548 -0.000196901
152533 3780704 -0.0141194 -0.0748547 1.24527e-09 3.47283e-11 1.11274e-09 0.00011934 -0.000186302
152535 3879744 -0.0131389 -0.0753498 1.24092e-09 7.79193e-11 1.16679e-09 0.000107861 -0.000202462
152553 4833899 -0.0129976 -0.0760596 1.27975e-09 9.00173e-11 1.13088e-09 0.000114502 -0.000201196
